train,val,test
TCGA-02-0006,TCGA-02-0085,sfb01
TCGA-02-0009,TCGA-06-0138,sfb02
TCGA-02-0011,TCGA-06-0644,sfb03
TCGA-02-0027,TCGA-06-0649,sfb04
TCGA-02-0034,TCGA-06-5408,sfb05
TCGA-02-0037,TCGA-06-5413,sfb06
TCGA-02-0048,TCGA-12-0616,sfb07
TCGA-02-0054,TCGA-CS-6667,sfb08
TCGA-02-0068,TCGA-DU-5852,sfb09
TCGA-02-0069,TCGA-DU-6401,sfb10
TCGA-02-0070,TCGA-DU-6404,sfb11
TCGA-02-0075,TCGA-DU-6542,sfb12
TCGA-02-0086,TCGA-DU-8165,sfb14
TCGA-06-0133,TCGA-FG-6691,sfb15
TCGA-06-0176,TCGA-FG-A713,sfb16
TCGA-08-0350,TCGA-HT-7874,sfb18
TCGA-08-0352,TCGA-HT-A5RC,sfb19
TCGA-08-0353,TCGA-HT-A614,sfb20
TCGA-08-0354,TCGA-12-1093,sfb21
TCGA-08-0355,,sfb22
TCGA-08-0356,,sfb23
TCGA-08-0357,,sfb24
TCGA-08-0358,,sfb25
TCGA-08-0359,,sfb26
TCGA-08-0389,,sfb27
TCGA-08-0390,,sfb28
TCGA-08-0392,,sfb30
TCGA-CS-6669,,sfb31
TCGA-FG-A4MT,,sfb32
TCGA-02-0047,,sfb33
TCGA-06-0130,,sfb34
TCGA-06-0158,,sfb35
TCGA-06-0168,,sfb36
TCGA-06-0184,,sfb38
TCGA-06-0187,,sfb39
TCGA-06-0190,,sfb40
TCGA-06-0238,,sfb41
TCGA-06-0646,,sfb42
TCGA-06-5412,,sfb43
TCGA-12-3650,,sfb45
TCGA-14-0789,,sfb46
TCGA-14-1825,,sfb47
TCGA-14-1829,,sfb48
TCGA-19-1390,,sfb50
TCGA-19-2624,,
TCGA-19-5960,,
TCGA-27-1834,,
TCGA-27-2526,,
TCGA-CS-4941,,
TCGA-CS-4942,,
TCGA-CS-4943,,
TCGA-CS-4944,,
TCGA-CS-5393,,
TCGA-CS-5395,,
TCGA-CS-5396,,
TCGA-CS-5397,,
TCGA-CS-6186,,
TCGA-CS-6188,,
TCGA-CS-6290,,
TCGA-CS-6665,,
TCGA-CS-6666,,
TCGA-CS-6668,,
TCGA-DU-5849,,
TCGA-DU-5851,,
TCGA-DU-5853,,
TCGA-DU-5854,,
TCGA-DU-5855,,
TCGA-DU-5871,,
TCGA-DU-5872,,
TCGA-DU-5874,,
TCGA-DU-6397,,
TCGA-DU-6399,,
TCGA-DU-6400,,
TCGA-DU-6405,,
TCGA-DU-6407,,
TCGA-DU-6408,,
TCGA-DU-6410,,
TCGA-DU-7008,,
TCGA-DU-7010,,
TCGA-DU-7015,,
TCGA-DU-7018,,
TCGA-DU-7019,,
TCGA-DU-7294,,
TCGA-DU-7298,,
TCGA-DU-7299,,
TCGA-DU-7300,,
TCGA-DU-7301,,
TCGA-DU-7302,,
TCGA-DU-7304,,
TCGA-DU-7306,,
TCGA-DU-7309,,
TCGA-DU-8162,,
TCGA-DU-8164,,
TCGA-DU-8166,,
TCGA-DU-8167,,
TCGA-DU-8168,,
TCGA-DU-A5TP,,
TCGA-DU-A5TR,,
TCGA-DU-A5TS,,
TCGA-DU-A5TT,,
TCGA-DU-A5TU,,
TCGA-DU-A5TW,,
TCGA-DU-A5TY,,
TCGA-DU-A6S2,,
TCGA-DU-A6S3,,
TCGA-DU-A6S6,,
TCGA-DU-A6S7,,
TCGA-DU-A6S8,,
TCGA-FG-5964,,
TCGA-FG-6688,,
TCGA-FG-6689,,
TCGA-FG-6692,,
TCGA-FG-7634,,
TCGA-FG-7643,,
TCGA-FG-A6IZ,,
TCGA-HT-7473,,
TCGA-HT-7475,,
TCGA-HT-7602,,
TCGA-HT-7616,,
TCGA-HT-7680,,
TCGA-HT-7684,,
TCGA-HT-7686,,
TCGA-HT-7690,,
TCGA-HT-7692,,
TCGA-HT-7693,,
TCGA-HT-7694,,
TCGA-HT-7855,,
TCGA-HT-7856,,
TCGA-HT-7860,,
TCGA-HT-7879,,
TCGA-HT-7882,,
TCGA-HT-7884,,
TCGA-HT-8018,,
TCGA-HT-8105,,
TCGA-HT-8106,,
TCGA-HT-8107,,
TCGA-HT-8111,,
TCGA-HT-8113,,
TCGA-HT-8114,,
TCGA-HT-8563,,
TCGA-02-0003,,
TCGA-02-0033,,
TCGA-06-0122,,
TCGA-06-0128,,
TCGA-06-0137,,
TCGA-06-0139,,
TCGA-06-0145,,
TCGA-06-0154,,
TCGA-06-0166,,
TCGA-06-0185,,
TCGA-06-0188,,
TCGA-06-0189,,
TCGA-06-0192,,
TCGA-06-0213,,
TCGA-06-0241,,
TCGA-06-0648,,
TCGA-06-1084,,
TCGA-06-6389,,
TCGA-12-0829,,
TCGA-12-1598,,
TCGA-12-1602,,
TCGA-14-1794,,
TCGA-19-1789,,
TCGA-19-2631,,
TCGA-19-5951,,
TCGA-19-5954,,
TCGA-19-5958,,
TCGA-27-1838,,
